country,state,year,quarter,entity_type,district&pin,registered_users
india,andaman-&-nicobar-islands,2022,Q4,pincode,744211,2679
india,andaman-&-nicobar-islands,2022,Q4,pincode,744205,2358
india,andhra-pradesh,2018,Q1,district,visakhapatnam,497187
india,andhra-pradesh,2018,Q1,district,east godavari,350356
india,andhra-pradesh,2018,Q1,district,krishna,323673
india,andhra-pradesh,2018,Q1,district,guntur,317065
india,andhra-pradesh,2018,Q1,district,chittoor,309541
india,andhra-pradesh,2018,Q1,district,anantapur,241192
india,andhra-pradesh,2018,Q1,district,kurnool,240133
india,andhra-pradesh,2018,Q1,district,west godavari,213335
india,andhra-pradesh,2018,Q1,district,spsr nellore,194475
india,andhra-pradesh,2018,Q1,district,prakasam,189949
india,andhra-pradesh,2018,Q1,pincode,517501,39884
india,andhra-pradesh,2018,Q1,pincode,530016,34201
india,andhra-pradesh,2018,Q1,pincode,517507,34111
india,andhra-pradesh,2018,Q1,pincode,515001,31964
india,andhra-pradesh,2018,Q1,pincode,516001,29078
india,andhra-pradesh,2018,Q1,pincode,518002,29043
india,andhra-pradesh,2018,Q1,pincode,530026,26889
india,andhra-pradesh,2018,Q1,pincode,516360,26187
india,andhra-pradesh,2018,Q1,pincode,520010,24397
india,andhra-pradesh,2018,Q1,pincode,524002,23439
india,andhra-pradesh,2018,Q2,district,visakhapatnam,636052
india,andhra-pradesh,2018,Q2,district,east godavari,454398
india,andhra-pradesh,2018,Q2,district,krishna,431965
india,andhra-pradesh,2018,Q2,district,guntur,420326
india,andhra-pradesh,2018,Q2,district,chittoor,414306
india,andhra-pradesh,2018,Q2,district,anantapur,326383
india,andhra-pradesh,2018,Q2,district,kurnool,319313
india,andhra-pradesh,2018,Q2,district,west godavari,282393
india,andhra-pradesh,2018,Q2,district,spsr nellore,261049
india,andhra-pradesh,2018,Q2,district,prakasam,253458
india,andhra-pradesh,2018,Q2,pincode,517501,53468
india,andhra-pradesh,2018,Q2,pincode,517507,45241
india,andhra-pradesh,2018,Q2,pincode,530016,43386
india,andhra-pradesh,2018,Q2,pincode,515001,42466
india,andhra-pradesh,2018,Q2,pincode,516001,38402
