country,state,year,quarter,states,registered_users,apps_opened
india,arunachal-pradesh,2018,Q3,pakke kessang district,103,0
india,arunachal-pradesh,2018,Q3,east siang district,3590,0
india,arunachal-pradesh,2018,Q3,upper subansiri district,1169,0
india,arunachal-pradesh,2018,Q3,tawang district,3112,0
india,arunachal-pradesh,2018,Q3,namsai district,1862,0
india,arunachal-pradesh,2018,Q4,lower subansiri district,1459,0
india,arunachal-pradesh,2018,Q4,tirap district,1684,0
india,arunachal-pradesh,2018,Q4,papum pare district,21342,0
india,arunachal-pradesh,2018,Q4,anjaw district,744,0
india,arunachal-pradesh,2018,Q4,lower siang district,936,0
india,arunachal-pradesh,2018,Q4,dibang valley district,178,0
india,arunachal-pradesh,2018,Q4,west kameng district,6492,0
india,arunachal-pradesh,2018,Q4,shi yomi district,144,0
india,arunachal-pradesh,2018,Q4,east kameng district,691,0
india,arunachal-pradesh,2018,Q4,lohit district,3588,0
india,arunachal-pradesh,2018,Q4,lepa rada district,548,0
india,arunachal-pradesh,2018,Q4,lower dibang valley district,1827,0
india,arunachal-pradesh,2018,Q4,longding district,923,0
india,arunachal-pradesh,2018,Q4,west siang district,2117,0
india,arunachal-pradesh,2018,Q4,kamle district,109,0
india,arunachal-pradesh,2018,Q4,upper siang district,868,0
india,arunachal-pradesh,2018,Q4,kurung kumey district,321,0
india,arunachal-pradesh,2018,Q4,siang district,483,0
india,arunachal-pradesh,2018,Q4,kra daadi district,255,0
india,arunachal-pradesh,2018,Q4,changlang district,4036,0
india,arunachal-pradesh,2018,Q4,pakke kessang district,138,0
india,arunachal-pradesh,2018,Q4,east siang district,4813,0
india,arunachal-pradesh,2018,Q4,upper subansiri district,1576,0
india,arunachal-pradesh,2018,Q4,tawang district,4085,0
india,arunachal-pradesh,2018,Q4,namsai district,2495,0
india,arunachal-pradesh,2019,Q1,lower subansiri district,1879,0
india,arunachal-pradesh,2019,Q1,tirap district,2082,0
india,arunachal-pradesh,2019,Q1,papum pare district,26298,0
india,arunachal-pradesh,2019,Q1,anjaw district,934,0
india,arunachal-pradesh,2019,Q1,lower siang district,1123,0
india,arunachal-pradesh,2019,Q1,dibang valley district,211,0
india,arunachal-pradesh,2019,Q1,west kameng district,8115,0
india,arunachal-pradesh,2019,Q1,shi yomi district,186,0
india,arunachal-pradesh,2019,Q1,east kameng district,876,0
india,arunachal-pradesh,2019,Q1,lohit district,4416,0
india,arunachal-pradesh,2019,Q1,lepa rada district,710,0
india,arunachal-pradesh,2019,Q1,lower dibang valley district,2314,0
india,arunachal-pradesh,2019,Q1,longding district,1152,0
india,arunachal-pradesh,2019,Q1,west siang district,2656,0
india,arunachal-pradesh,2019,Q1,kamle district,141,0
india,arunachal-pradesh,2019,Q1,upper siang district,1125,0
india,arunachal-pradesh,2019,Q1,kurung kumey district,385,0
india,arunachal-pradesh,2019,Q1,siang district,651,0
india,arunachal-pradesh,2019,Q1,kra daadi district,350,0
india,arunachal-pradesh,2019,Q1,changlang district,5210,0
india,arunachal-pradesh,2019,Q1,pakke kessang district,162,0
