country,state,year,quarter,transaction_type,transaction_count,total_amount
India,andhra-pradesh,2020,Q4,Merchant payments,86581460,66654048149
India,andhra-pradesh,2020,Q4,Recharge & bill payments,46810304,20936337211
India,andhra-pradesh,2020,Q4,Financial Services,265470,305168772
India,andhra-pradesh,2020,Q4,Others,457527,306853355
India,andhra-pradesh,2021,Q1,Peer-to-peer payments,149313738,580542193013
India,andhra-pradesh,2021,Q1,Merchant payments,97920281,70813192713
India,andhra-pradesh,2021,Q1,Recharge & bill payments,41940689,20546424964
India,andhra-pradesh,2021,Q1,Financial Services,225355,270313028
India,andhra-pradesh,2021,Q1,Others,347907,272546457
India,andhra-pradesh,2021,Q2,Peer-to-peer payments,189614879,737004484057
India,andhra-pradesh,2021,Q2,Merchant payments,112875274,88512429436
India,andhra-pradesh,2021,Q2,Recharge & bill payments,49626902,24646800345
India,andhra-pradesh,2021,Q2,Financial Services,243237,265483044
India,andhra-pradesh,2021,Q2,Others,406842,308302224
India,andhra-pradesh,2021,Q3,Peer-to-peer payments,221280317,837841124664
India,andhra-pradesh,2021,Q3,Merchant payments,158290953,118164377968
India,andhra-pradesh,2021,Q3,Recharge & bill payments,51702350,27511344958
India,andhra-pradesh,2021,Q3,Financial Services,211171,297239697
India,andhra-pradesh,2021,Q3,Others,547759,403948275
India,andhra-pradesh,2021,Q4,Peer-to-peer payments,262006450,971269765249
India,andhra-pradesh,2021,Q4,Merchant payments,207538904,152883933596
India,andhra-pradesh,2021,Q4,Recharge & bill payments,51762842,31232784713
India,andhra-pradesh,2021,Q4,Financial Services,243951,332740108
India,andhra-pradesh,2021,Q4,Others,701856,545223415
India,andhra-pradesh,2022,Q1,Peer-to-peer payments,288488560,1089629182596
India,andhra-pradesh,2022,Q1,Merchant payments,242031836,169419685917
India,andhra-pradesh,2022,Q1,Recharge & bill payments,51224170,34473036841
India,andhra-pradesh,2022,Q1,Financial Services,231651,324358965
India,andhra-pradesh,2022,Q1,Others,627694,474382234
India,andhra-pradesh,2022,Q2,Peer-to-peer payments,321362337,1231408926513
India,andhra-pradesh,2022,Q2,Merchant payments,292530048,205433660654
India,andhra-pradesh,2022,Q2,Recharge & bill payments,56606969,42408541939
India,andhra-pradesh,2022,Q2,Financial Services,192751,245783011
India,andhra-pradesh,2022,Q2,Others,441925,357036084
India,andhra-pradesh,2022,Q3,Peer-to-peer payments,298804000,1140164525892
India,andhra-pradesh,2022,Q3,Merchant payments,291033653,202910820650
India,andhra-pradesh,2022,Q3,Recharge & bill payments,52467708,41438764826
India,andhra-pradesh,2022,Q3,Financial Services,187190,239347241
India,andhra-pradesh,2022,Q3,Others,362484,323951101
India,andhra-pradesh,2022,Q4,Merchant payments,321632104,211898851397
India,andhra-pradesh,2022,Q4,Peer-to-peer payments,315734006,1170249585983
India,andhra-pradesh,2022,Q4,Recharge & bill payments,52098850,41986837706
India,andhra-pradesh,2022,Q4,Financial Services,206459,250596592
India,andhra-pradesh,2022,Q4,Others,345658,339211363
India,arunachal-pradesh,2018,Q1,Recharge & bill payments,28729,5184132
India,arunachal-pradesh,2018,Q1,Peer-to-peer payments,13320,82889682
India,arunachal-pradesh,2018,Q1,Merchant payments,1042,2420374
India,arunachal-pradesh,2018,Q1,Financial Services,416,58893
India,arunachal-pradesh,2018,Q1,Others,1990,1834252
India,arunachal-pradesh,2018,Q2,Recharge & bill payments,50700,10468878
India,arunachal-pradesh,2018,Q2,Peer-to-peer payments,26477,181576281
India,arunachal-pradesh,2018,Q2,Merchant payments,2378,4718953
India,arunachal-pradesh,2018,Q2,Financial Services,559,363761
India,arunachal-pradesh,2018,Q2,Others,2043,1842317
India,arunachal-pradesh,2018,Q3,Recharge & bill payments,74122,15997565
India,arunachal-pradesh,2018,Q3,Peer-to-peer payments,49740,308106303
India,arunachal-pradesh,2018,Q3,Merchant payments,4738,5505694
India,arunachal-pradesh,2018,Q3,Financial Services,507,72133
India,arunachal-pradesh,2018,Q3,Others,2039,2044708
India,arunachal-pradesh,2018,Q4,Recharge & bill payments,97751,20662691
India,arunachal-pradesh,2018,Q4,Peer-to-peer payments,68169,468831493
India,arunachal-pradesh,2018,Q4,Merchant payments,7726,11998974
India,arunachal-pradesh,2018,Q4,Financial Services,561,100597
India,arunachal-pradesh,2018,Q4,Others,2222,2446271
India,arunachal-pradesh,2019,Q1,Recharge & bill payments,121303,26796894
India,arunachal-pradesh,2019,Q1,Peer-to-peer payments,93494,568554821
India,arunachal-pradesh,2019,Q1,Merchant payments,9214,11727218
India,arunachal-pradesh,2019,Q1,Financial Services,256,140622
India,arunachal-pradesh,2019,Q1,Others,2239,2730548
India,arunachal-pradesh,2019,Q2,Recharge & bill payments,131988,30420803
India,arunachal-pradesh,2019,Q2,Peer-to-peer payments,106527,704237943
India,arunachal-pradesh,2019,Q2,Merchant payments,16828,13955724
India,arunachal-pradesh,2019,Q2,Financial Services,267,160660
India,arunachal-pradesh,2019,Q2,Others,3046,3880742
India,arunachal-pradesh,2019,Q3,Recharge & bill payments,216228,50946104
India,arunachal-pradesh,2019,Q3,Peer-to-peer payments,133484,841037395
India,arunachal-pradesh,2019,Q3,Merchant payments,16900,17178248
India,arunachal-pradesh,2019,Q3,Financial Services,864,64089
India,arunachal-pradesh,2019,Q3,Others,2758,3419197
India,arunachal-pradesh,2019,Q4,Recharge & bill payments,259183,63516906
India,arunachal-pradesh,2019,Q4,Peer-to-peer payments,177833,1100137447
India,arunachal-pradesh,2019,Q4,Merchant payments,19769,23192271
India,arunachal-pradesh,2019,Q4,Financial Services,314,305379
India,arunachal-pradesh,2019,Q4,Others,2376,3421174
India,arunachal-pradesh,2020,Q1,Recharge & bill payments,329834,86011654
India,arunachal-pradesh,2020,Q1,Peer-to-peer payments,203429,1263912288
India,arunachal-pradesh,2020,Q1,Merchant payments,31181,28553052
India,arunachal-pradesh,2020,Q1,Financial Services,470,337812
India,arunachal-pradesh,2020,Q1,Others,2261,2943873
India,arunachal-pradesh,2020,Q2,Recharge & bill payments,522495,145198528
India,arunachal-pradesh,2020,Q2,Peer-to-peer payments,247861,1630654426
India,arunachal-pradesh,2020,Q2,Merchant payments,35169,46446966
India,arunachal-pradesh,2020,Q2,Financial Services,1310,2655507
India,arunachal-pradesh,2020,Q2,Others,1939,1761404
India,arunachal-pradesh,2020,Q3,Recharge & bill payments,514907,153463816
India,arunachal-pradesh,2020,Q3,Peer-to-peer payments,370418,2361603431
India,arunachal-pradesh,2020,Q3,Merchant payments,72736,88145178
India,arunachal-pradesh,2020,Q3,Financial Services,1761,4030599
India,arunachal-pradesh,2020,Q3,Others,3005,2695539
India,arunachal-pradesh,2020,Q4,Peer-to-peer payments,522019,3254744938
India,arunachal-pradesh,2020,Q4,Recharge & bill payments,513895,152389181
India,arunachal-pradesh,2020,Q4,Merchant payments,167387,156682926
India,arunachal-pradesh,2020,Q4,Financial Services,1749,2391651
India,arunachal-pradesh,2020,Q4,Others,4079,4055324
India,arunachal-pradesh,2021,Q1,Peer-to-peer payments,566209,3460488558
India,arunachal-pradesh,2021,Q1,Recharge & bill payments,450649,142358376
India,arunachal-pradesh,2021,Q1,Merchant payments,155966,204958020
India,arunachal-pradesh,2021,Q1,Financial Services,1558,2672460
India,arunachal-pradesh,2021,Q1,Others,3074,3301662
India,arunachal-pradesh,2021,Q2,Peer-to-peer payments,762946,4000960152
India,arunachal-pradesh,2021,Q2,Recharge & bill payments,556680,165579844
India,arunachal-pradesh,2021,Q2,Merchant payments,243375,283709438
India,arunachal-pradesh,2021,Q2,Financial Services,1582,2761076
India,arunachal-pradesh,2021,Q2,Others,3755,3415105
India,arunachal-pradesh,2021,Q3,Peer-to-peer payments,986088,5033603845
India,arunachal-pradesh,2021,Q3,Recharge & bill payments,600102,187390578
India,arunachal-pradesh,2021,Q3,Merchant payments,314658,449869060
India,arunachal-pradesh,2021,Q3,Financial Services,1934,3348547
India,arunachal-pradesh,2021,Q3,Others,4185,3912143
India,arunachal-pradesh,2021,Q4,Peer-to-peer payments,1227616,6022733378
India,arunachal-pradesh,2021,Q4,Recharge & bill payments,633248,207784816
India,arunachal-pradesh,2021,Q4,Merchant payments,521447,704195694
India,arunachal-pradesh,2021,Q4,Financial Services,2386,3933557
India,arunachal-pradesh,2021,Q4,Others,5901,4862905
India,arunachal-pradesh,2022,Q1,Peer-to-peer payments,1403584,6670641250
India,arunachal-pradesh,2022,Q1,Merchant payments,720803,917155358
India,arunachal-pradesh,2022,Q1,Recharge & bill payments,670576,231933129
India,arunachal-pradesh,2022,Q1,Financial Services,3053,3359625
India,arunachal-pradesh,2022,Q1,Others,6052,5002264
India,arunachal-pradesh,2022,Q2,Peer-to-peer payments,1751568,7627061474
India,arunachal-pradesh,2022,Q2,Merchant payments,1108353,1255513517
India,arunachal-pradesh,2022,Q2,Recharge & bill payments,688770,241162643
India,arunachal-pradesh,2022,Q2,Financial Services,2466,4063469
India,arunachal-pradesh,2022,Q2,Others,5768,3864269
India,arunachal-pradesh,2022,Q3,Peer-to-peer payments,1967086,7365427284
India,arunachal-pradesh,2022,Q3,Merchant payments,1316326,1413247143
India,arunachal-pradesh,2022,Q3,Recharge & bill payments,649322,238448083
India,arunachal-pradesh,2022,Q3,Financial Services,1997,4763324
India,arunachal-pradesh,2022,Q3,Others,4687,3224948
India,arunachal-pradesh,2022,Q4,Peer-to-peer payments,2251135,7768088687
India,arunachal-pradesh,2022,Q4,Merchant payments,1704968,1669602212
India,arunachal-pradesh,2022,Q4,Recharge & bill payments,669151,239412553
India,arunachal-pradesh,2022,Q4,Financial Services,2617,3785469
India,arunachal-pradesh,2022,Q4,Others,4838,4020773
India,assam,2018,Q1,Recharge & bill payments,632092,93491181
India,assam,2018,Q1,Peer-to-peer payments,318025,993525195
India,assam,2018,Q1,Merchant payments,40482,34501622
India,assam,2018,Q1,Financial Services,18172,4936862
India,assam,2018,Q1,Others,48110,31349593
India,assam,2018,Q2,Recharge & bill payments,984160,174427478
India,assam,2018,Q2,Peer-to-peer payments,530781,2064314053
India,assam,2018,Q2,Merchant payments,79307,73366344
India,assam,2018,Q2,Financial Services,22773,7051504
India,assam,2018,Q2,Others,46852,31425754
India,assam,2018,Q3,Recharge & bill payments,1275136,254569069
India,assam,2018,Q3,Peer-to-peer payments,843571,3424136709
India,assam,2018,Q3,Merchant payments,159532,96783839
India,assam,2018,Q3,Financial Services,22677,4741123
India,assam,2018,Q3,Others,50935,30904247
India,assam,2018,Q4,Recharge & bill payments,1703488,317661277
India,assam,2018,Q4,Peer-to-peer payments,1279089,5284776455
India,assam,2018,Q4,Merchant payments,667293,240563395
India,assam,2018,Q4,Financial Services,28035,6331912
India,assam,2018,Q4,Others,56267,38689818
India,assam,2019,Q1,Recharge & bill payments,1993220,400281677
India,assam,2019,Q1,Peer-to-peer payments,1976310,7291433300
India,assam,2019,Q1,Merchant payments,494871,266644645
India,assam,2019,Q1,Financial Services,20162,4612454
India,assam,2019,Q1,Others,48442,39127457
India,assam,2019,Q2,Recharge & bill payments,2512932,539315772
India,assam,2019,Q2,Peer-to-peer payments,2293770,10035232820
India,assam,2019,Q2,Merchant payments,573646,326844709
India,assam,2019,Q2,Financial Services,13654,4037222
India,assam,2019,Q2,Others,60927,49538663
India,assam,2019,Q3,Peer-to-peer payments,2713539,11835800855
India,assam,2019,Q3,Recharge & bill payments,2645302,639885372
India,assam,2019,Q3,Merchant payments,513728,421380275
India,assam,2019,Q3,Financial Services,8606,6403456
India,assam,2019,Q3,Others,61396,46973660
India,assam,2019,Q4,Peer-to-peer payments,3222143,14083346879
India,assam,2019,Q4,Recharge & bill payments,2937800,704118873
India,assam,2019,Q4,Merchant payments,544053,456318130
India,assam,2019,Q4,Financial Services,9621,3492255
India,assam,2019,Q4,Others,46893,34707757
India,assam,2020,Q1,Peer-to-peer payments,4058740,18977446151
India,assam,2020,Q1,Recharge & bill payments,3897975,971722606
India,assam,2020,Q1,Merchant payments,792646,675423852
India,assam,2020,Q1,Financial Services,10173,7054325
India,assam,2020,Q1,Others,49326,36781411
India,assam,2020,Q2,Recharge & bill payments,6045321,1612522828
India,assam,2020,Q2,Peer-to-peer payments,3648386,17358374071
India,assam,2020,Q2,Merchant payments,742400,749018053
India,assam,2020,Q2,Financial Services,19814,18130004
India,assam,2020,Q2,Others,49278,28255168
India,assam,2020,Q3,Peer-to-peer payments,5637893,26646565777
India,assam,2020,Q3,Recharge & bill payments,5292154,1627282415
India,assam,2020,Q3,Merchant payments,1383230,1492484153
India,assam,2020,Q3,Financial Services,24954,28452966
India,assam,2020,Q3,Others,59480,36605946
India,assam,2020,Q4,Peer-to-peer payments,7538478,36013292450
India,assam,2020,Q4,Recharge & bill payments,5383505,1662189124
India,assam,2020,Q4,Merchant payments,2392184,2466913305
India,assam,2020,Q4,Financial Services,29764,32314809
India,assam,2020,Q4,Others,79523,51901628
India,assam,2021,Q1,Peer-to-peer payments,9449096,45476079487
India,assam,2021,Q1,Recharge & bill payments,6494111,2103017761
India,assam,2021,Q1,Merchant payments,3459132,3657261586
India,assam,2021,Q1,Financial Services,34049,41291047
India,assam,2021,Q1,Others,75672,48814663
India,assam,2021,Q2,Peer-to-peer payments,11668399,51521387890
India,assam,2021,Q2,Recharge & bill payments,9058005,2657676415
India,assam,2021,Q2,Merchant payments,4562669,4914753140
India,assam,2021,Q2,Financial Services,49671,46106001
India,assam,2021,Q2,Others,94161,52549929
India,assam,2021,Q3,Peer-to-peer payments,15617592,64131823895
India,assam,2021,Q3,Recharge & bill payments,10284267,3248364164
India,assam,2021,Q3,Merchant payments,7431371,8208706348
India,assam,2021,Q3,Financial Services,39479,43889820
India,assam,2021,Q3,Others,131732,67715045
India,assam,2021,Q4,Peer-to-peer payments,21393962,86801625126
India,assam,2021,Q4,Merchant payments,12895755,13378765005
India,assam,2021,Q4,Recharge & bill payments,11484376,3842004488
India,assam,2021,Q4,Financial Services,60724,65456475
India,assam,2021,Q4,Others,185544,97116796
India,assam,2022,Q1,Peer-to-peer payments,27156085,108855352347
India,assam,2022,Q1,Merchant payments,19011883,18833132506
India,assam,2022,Q1,Recharge & bill payments,12474674,4424035840
India,assam,2022,Q1,Financial Services,68432,73257991
India,assam,2022,Q1,Others,178812,94659207
India,assam,2022,Q2,Peer-to-peer payments,33879530,123829913105
India,assam,2022,Q2,Merchant payments,28377534,24333260089
India,assam,2022,Q2,Recharge & bill payments,13858113,4814695679
India,assam,2022,Q2,Financial Services,50785,55549153
India,assam,2022,Q2,Others,168763,77624058
India,assam,2022,Q3,Peer-to-peer payments,37000266,127264703851
India,assam,2022,Q3,Merchant payments,34935460,28789992307
India,assam,2022,Q3,Recharge & bill payments,13974568,5295136932
India,assam,2022,Q3,Financial Services,65066,62882386
India,assam,2022,Q3,Others,138451,76363577
India,assam,2022,Q4,Peer-to-peer payments,44828832,150693397669
India,assam,2022,Q4,Merchant payments,43605784,36033810141
India,assam,2022,Q4,Recharge & bill payments,15344794,5773980885
India,assam,2022,Q4,Financial Services,74414,75960367
India,assam,2022,Q4,Others,127443,76370123
India,bihar,2018,Q1,Recharge & bill payments,3159922,375559206
India,bihar,2018,Q1,Peer-to-peer payments,2052089,5295346761
India,bihar,2018,Q1,Financial Services,194295,33999413
India,bihar,2018,Q1,Merchant payments,138885,139827755
India,bihar,2018,Q1,Others,279111,201025034
India,bihar,2018,Q2,Recharge & bill payments,4346849,700649777
India,bihar,2018,Q2,Peer-to-peer payments,3447898,12141448845
India,bihar,2018,Q2,Merchant payments,311487,318571872
India,bihar,2018,Q2,Financial Services,267433,45332532
India,bihar,2018,Q2,Others,258711,300128082
India,bihar,2018,Q3,Peer-to-peer payments,8893764,18695889187
India,bihar,2018,Q3,Recharge & bill payments,4401439,804061398
India,bihar,2018,Q3,Merchant payments,586862,367608510
India,bihar,2018,Q3,Financial Services,274510,33276460
India,bihar,2018,Q3,Others,211229,234968821
India,bihar,2018,Q4,Peer-to-peer payments,8094296,26224303882
India,bihar,2018,Q4,Recharge & bill payments,5469096,986310785
India,bihar,2018,Q4,Merchant payments,1680664,848968693
India,bihar,2018,Q4,Financial Services,237247,36199427
India,bihar,2018,Q4,Others,251098,302214380
India,bihar,2019,Q1,Peer-to-peer payments,16807040,38824078062
India,bihar,2019,Q1,Recharge & bill payments,7036367,1333688182
India,bihar,2019,Q1,Merchant payments,2055267,1024996999
India,bihar,2019,Q1,Financial Services,204689,28599535
India,bihar,2019,Q1,Others,252871,291464734
India,bihar,2019,Q2,Peer-to-peer payments,15837449,58381285240
